"","stock.id","species","stock","ocean.region","region","sub.region","jurisdiction","lat","lon","source.id","ts.length","ts.start","ts.end","logA","b","K","rmax","sigma","ar1","ar1.l95","ar1.u95","p_S_belowK","logA2","b2","K2","rmax2","sigma2","acf_1","acf_2","acf_3","acf_4","m.spawners","sd.spawners"
"1",101,"Coho","Buskin River","GOA","Westward","Kodiak","AK",57.75812,-152.4784,"1",22,1989,2010,1.0656048454116,7.05950150296166e-05,14165.3061420905,15125.7802752585,0.240008655058312,0.433851529385169,0.00376825819536366,0.728486523839655,0,1.0163541716371,6.54381970779591e-05,15281.5946137492,15533.5672205791,0.240672266362809,0.42293045829209,0.181334306881707,-0.00685263492572393,-0.171522516587642,9267.45454545455,2546.81780392845
"4",104,"Coho","Berners River","GOA","Southeast","Southeast","AK",58.8464,-134.97,"3,4",27,1982,2010,1.78279798376268,7.42722534520296e-05,13463.9781819179,29453.590470614,0.464713524142597,0.446629781403836,0.0730152071254463,0.710314928155059,0,1.79491891173646,7.51090748901002e-05,13313.9704018882,29480.6112596776,0.468867764872587,0.461957032531516,0.271548099739928,0.180072187494962,-0.0467087027211727,12277.5555555556,8500.0035399691
"7",107,"Coho","Akwe River","GOA","Southeast","Southeast","AK",59.2929349,-139.09307,"5",60,1972,1986,1.82445690692631,6.37866815217471e-05,15677.2538740562,35754.2009357026,0.482457656194403,0.0187967959207423,-0.264245771888884,0.298858291812012,0.0344827586206897,1.82390112183653,6.36780216492573e-05,15704.005465309,35795.3117035968,0.482449359507089,0.0166556809270853,-0.213972039470394,0.103366475390291,-0.244951773847252,10250,9620.75256226906
"8",108,"Coho","East Alsek River","GOA","Southeast","Southeast","AK",59.10379,-138.5086,"5",68,1972,1988,1.72296863939276,5.93210500470726e-05,16857.4224361585,34735.4125054646,0.508271033886148,-0.218542662216368,-0.437313502693044,0.0246488784539857,0.0344827586206897,1.70568438275866,5.73602079235196e-05,17433.6885482238,35307.2681931794,0.508049617291876,-0.210976341285323,0.0178587969696679,-0.143247496017325,0.0849548019691098,7585.77941176471,8608.86964488108
"9",109,"Coho","Italio River","GOA","Southeast","Southeast","AK",59.3129858,-139.15364,"5",64,1972,1988,1.87103688553066,0.000100794250515386,9921.20081142278,23705.5891402433,0.571649445453602,0.184970487651714,-0.0881573170363397,0.432229852777716,0,1.83125626897095,9.45148802053654e-05,10580.344574602,24294.6038854211,0.570035173766288,0.153083029091833,0.163352950420883,0.287485971248811,0.046352718649901,7213.53125,6179.83452536657
"10",110,"Coho","Kaliakh River","GOA","Southeast","Southeast","AK",60.0873,-142.9378,"5",48,1973,1988,1.34606753873049,2.66688456810629e-05,37496.9360113731,53001.8470002023,0.615168123636589,0.175466167689571,-0.11370478672202,0.437229677438322,0.448275862068966,1.36618292444697,2.75516586670369e-05,36295.4554600522,52345.9967719356,0.615032891842569,0.169005534781005,-0.274687719991128,-0.0965876482464579,0.0936928077038114,20000.0208333333,27034.8197861923
"11",111,"Coho","Lost River","GOA","Southeast","Southeast","AK",59.45382,-139.6239,"5",68,1972,1988,1.78043236362306,7.33912188442367e-05,13625.6082914002,29736.7408941957,0.527487742887024,0.588064687420173,0.34774555864533,0.755878024386953,0,1.68887892826528,6.25854473426377e-05,15978.1553453678,31820.2037702714,0.517519679243263,0.542989736397973,0.360756640670581,0.104015418963626,-0.0222672590468893,10597.8970588235,8403.99534006368
"12",112,"Coho","Situk River","GOA","Southeast","Southeast","AK",59.44609,-139.5678,"5",68,1972,1988,2.54060968280478,4.65813577315053e-05,21467.8156391232,100199.635345361,0.438164459153759,0.138940960634429,-0.121444278916528,0.381434842507184,0.137931034482759,2.56644111032152,4.86381207978032e-05,20560.0048603269,98473.6290847794,0.437581809794025,0.118745777056041,-0.115253977705924,0.0413367712591255,-0.0843919371197164,12392.2794117647,10425.3840930648
"13",113,"Coho","Tsiu River","GOA","Southeast","Southeast","AK",60.0777512,-143.09116,"5",64,1973,1988,1.520341308235,1.1955163362838e-05,83645.8666142907,140742.688870271,0.41095278276314,0.0143706340383017,-0.253266098174524,0.279963942342802,0.931034482758621,1.51860509767611,1.1918616872478e-05,83902.3529910723,140929.357746557,0.410948526190014,0.0127102074237598,-0.284404003190506,0.0894406331030487,-0.0147565863496951,50598.9375,40387.6899443834
